title,url,discounted_price,original_price
Outdoor 2LED Solar Power Light Garden Wall Light Lamp Fence Gutter Stair Light HHIHE-532285,https://www.tinydeal.com/outdoor-2led-solar-power-light-garden-wall-light-lamp-fence-gutter-stair-light-p-166684.html,$4.11,$4.89 
IR Laser Infrared Digital Thermometer Sight Handheld Gun EDT-287797,https://www.tinydeal.com/ir-laser-infrared-digital-thermometer-sight-handheld-gun-p-122754.html,$12.58,$15.91 
ABS Plastic Case for Raspberry Pi 3 Model B & Raspberry Pi 2 E-524988,https://www.tinydeal.com/abs-plastic-case-for-raspberry-pi-3-model-b-raspberry-pi-2-p-163950.html,$2.38,$2.55 
3M 9001 KN90 Dust Masks Respirator Anti-dust PM2.5 Industrial Construction Polle RTH-562440,https://www.tinydeal.com/3m-9001-kn90-dust-masks-respirator-anti-dust-pm25-industrial-construction-polle-p-179487.html,$1.92,$2.31 
2-in-1 Vintage Blue Rhinestone Necklace + Earring Jewelry Set DJA-562974,https://www.tinydeal.com/2-in-1-vintage-blue-rhinestone-necklace-earring-jewelry-set-p-180097.html,$2.20,$5.74 
64GB USB 2.0 Flash Drive USB Pen Drive U Disk EFM-561923,https://www.tinydeal.com/64gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-178875.html,$6.50,$18.56 
Simplified Package 216 x 3mm Buckyballs Magnetic DIY Balls Neocube TTH-417687,https://www.tinydeal.com/simplified-package-216-x-3mm-buckyballs-magnetic-diy-balls-neocube-p-153376.html,$3.64,$6.59 
1/10 pcs Bottle Shaped Survival Tool Flint Fire Starter Lighter HUI-112592,https://www.tinydeal.com/110-pcs-bottle-shaped-survival-tool-flint-fire-starter-lighter-p-66547.html,$1.18,$3.27 
CO Carbon Monoxide Smoke Detector Alarm Poisoning Gas Warning Sensor HHI-565563,https://www.tinydeal.com/co-carbon-monoxide-smoke-detector-alarm-poisoning-gas-warning-sensor-p-181307.html,$6.27,$9.50 
1 Pair of Silicone Magnetic Losing Weight Toe Rings HBI-13397,https://www.tinydeal.com/1-pair-of-silicone-magnetic-losing-weight-toe-rings-p-12727.html,$0.97,$3.18 
Portable Mini LCD Digital Tyre Tire Pressure Gauge Tester CTL-27481,https://www.tinydeal.com/portable-mini-lcd-digital-tyre-tire-pressure-gauge-tester-p-23322.html,$3.32,$3.84 
2.4GHz 1600dpi Wireless Optical Mouse Mice CMS-11833-C3,https://www.tinydeal.com/24ghz-1600dpi-wireless-optical-mouse-mice-p-168444.html,$3.50,$6.71 
1/2 pcs Standard 1M Magnetic Charge Cable + Detachable Micro USB Metal Plug EPACB-487297,https://www.tinydeal.com/12-pcs-standard-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-156704.html,$2.63,$6.16 
1/2 pcs Car Visor Glasses Sunglasses Ticket Clip Holder - Color Assorted RIG-179460,https://www.tinydeal.com/12-pcs-car-visor-glasses-sunglasses-ticket-clip-holder-color-assorted-p-90302.html,$1.34,$3.83 
Teeth Whitening Pen Tooth Gel Whitener Bleach HBI-113105,https://www.tinydeal.com/teeth-whitening-pen-tooth-gel-whitener-bleach-p-66709.html,$1.95,$5.82 
M3S Bluetooth 4.0 Smart Bracelet with Blood Oxygen E-568625,https://www.tinydeal.com/m3s-bluetooth-40-smart-bracelet-with-blood-oxygen-p-181701.html,$5.13,$13.20 
Red Seven Flashing Modes Warning Light Bike Safety Lane - 2 Laser Beam OPJ-480690,https://www.tinydeal.com/red-seven-flashing-modes-warning-light-bike-safety-lane-2-laser-beam-p-156717.html,$2.84,$5.63 
Multifunction USB 2.0 M2/ TF Card Reader w/ Lanyard CCR-85173,https://www.tinydeal.com/multifunction-usb-20-m2-tf-card-reader-w-lanyard-p-57252.html,$1.53,$1.64 
10pcs Colorful Rose Flower Plant Seeds TDS-378192,https://www.tinydeal.com/10pcs-colorful-rose-flower-plant-seeds-p-145998.html,$0.77,$2.76 
Neoprene Short Beach Socks Diving Socks Non-Slip Antiskid Scuba Dive Boots SGD-548443,https://www.tinydeal.com/neoprene-short-beach-socks-diving-socks-non-slip-antiskid-scuba-dive-boots-p-174657.html,$3.11,$3.72 
216 x 5mm Buckyballs Magic Magnetic DIY Balls FTY-12600,https://www.tinydeal.com/216-x-5mm-buckyballs-magic-magnetic-diy-balls-p-11077.html,$10.30,$17.56 
ALIKE Fashion 50M Waterproof Men Analog-digital Wrist Watch WMN-205187-C3,https://www.tinydeal.com/alike-fashion-50m-waterproof-men-analog-digital-wrist-watch-p-163295.html,$9.23,$18.95 
Light Controlled Square LED Wall Night Lamp Bedroom Night Light HLT-506114,https://www.tinydeal.com/light-controlled-square-led-wall-night-lamp-bedroom-night-light-p-158312.html,$2.11,$5.18 
USB2.0 802.11 b/ g/ n 150Mbps Wireless Adapter with Antenna CNP-150792,https://www.tinydeal.com/usb20-80211-b-g-n-150mbps-wireless-adapter-with-antenna-p-81238.html,$4.61,$6.01 
18g Super Strong Sealant Fix Metal Adhesive Sealing Glue Bond HHI-557389,https://www.tinydeal.com/18g-super-strong-sealant-fix-metal-adhesive-sealing-glue-bond-p-177571.html,$1.17,$3.83 
